code,secteur_chefferie
Code,Secteur/Chefferie
17203301,Chefferie de Bakwange
17203302,Chefferie de Basonge 1
17203303,Chefferie de Benya Samba (Benia-Samba)
17203304,Chefferie de Nonda
17203305,Chefferie de Wagenia
17203306,Chefferie de Wazula
17203401,Secteur de Basonge 2 Mweho
17203402,Secteur de Mamba Kasenga
17203403,Secteur de Wazimba-wa-Maringa
17203404,Secteur de Wazimba-wa-Mulu
17204,Territoire de Kibombo
17204301,Chefferie d'Aluba
17204302,Chefferie d'Ankutshu
17204303,Chefferie de Bahina
17204304,Chefferie de Bakongola
17204305,Chefferie de Matapa
17205,Territoire de Lubutu
17205401,Secteur d' Obokote
17205402,Secteur de Bitule
17206,Territoire de Pangi
17206301,Chefferie de Babene
17206401,Secteur de Beia
17206402,Secteur d' Ikama
17206403,Secteur de Wakabongo 2
17207,Territoire de Punia
17207401,Secteur de Babira-Bakwame
17207402,Secteur de Baleka
17207403,Secteur d' Ulindi
18,Haut-Katanga
18201,Territoire de Kambove
18201301,Chefferie de Basanga
18201401,Secteur de Lufira
18201402,Secteur de Source du Congo
18202,Territoire de Kasenga
18202401,Secteur de Bakunda
18202402,Secteur de Kafira
18202403,Secteur de Kisamamba
18202404,Secteur de Luapula
18203,Territoire de Kipushi
18203301,Chefferie de Kaponda
18203302,Chefferie de Kinyama
18203401,Secteur de Bukanda
18204,Territoire de Mitwaba
18204301,Chefferie de Kiona-Ngoie
18204401,Secteur de Balomotwa
18204402,Secteur de Bamweshi
18205,Territoire de Pweto
18205301,Chefferie de Kiona-Nzini
18205302,Chefferie de Mwenge
18205303,Chefferie de M'Pweto
18205401,Secteur de Moero
18206,Territoire de Sakania
18206401,Secteur de Balala
18206402,Secteur de Balamba
18206403,Secteur de Baushi-Mwenda
19,Haut-Lomami
19201,Territoire de Bukama
19201301,Chefferie de Butumba
19201302,Chefferie de Kabondo-Dianda
19201303,Chefferie de Kibanda
19201304,Chefferie de Kinkondja
19201401,Secteur de Kapamay
19201402,Secteur de Lualaba
19202,Territoire de Kabongo
19202301,Chefferie de Kabongo
19202302,Chefferie de Kayamba
19202401,Secteur de Nord-Baluba
19203,Territoire de Kamina
19203301,Chefferie de Kasongo-Nyembo
19203401,Secteur de Kinda
19204,Territoire de Kaniama
19204301,Chefferie de Mutombo-Mukulu
19205,Territoire de Malemba-Nkulu
19205301,Chefferie de Kayumba
19205302,Chefferie de Mulongo
19205303,Chefferie de Museka
19205304,Chefferie de Nkulu
19205401,Secteur de Badia
19205402,Secteur de Mwanza
20,Lualaba
20201,Territoire de Dilolo
20201301,Chefferie de Muyeye
20201302,Chefferie de Mwaka Ndala
20201303,Chefferie de Mwatshisenge
20201304,Chefferie de Ndumba
20201305,Chefferie de Saluseke
20201306,Chefferie de Tshisangama
20201401,Secteur de Luena
20201402,Secteur de Lulua Lukoshi
20201403,Secteur de Mutanda
20202,Territoire de Kapanga
20202301,Chefferie de Mwant-Yav
20203,Territoire de Lubudi
20203301,Chefferie de Bayeke
20203302,Chefferie de Mazangule
20203303,Chefferie de Mulumbu
20203304,Chefferie de Mwana-Muadi
20204,Territoire de Mutshatsha
20204401,Secteur de Lufupa
20204402,Secteur de Luilu
20204403,Secteur de Mukuleshi
20205,Territoire de Sandoa
20205301,Chefferie de Kayembe Mukulu
20205302,Chefferie de Lumanga
20205303,Chefferie de Mbako
20205304,Chefferie de Muteba
20205305,Chefferie de Sakundundu
20205306,Chefferie de Samutoma
20205307,Chefferie de Tshibamba
20205308,Chefferie de Tshipao
21,Tanganyka
21201,Territoire de Kabalo
21201401,Secteur de Luela-Luvunguyi
21201402,Secteur de Lukuswa
21202,Territoire de Kalemie
21202301,Chefferie de Benze
21202302,Chefferie de Rutuku
21202303,Chefferie de Tumbwe
21203,Territoire de Kongolo
21203301,Chefferie de Bayashi
21203302,Chefferie de Lubunda
21203303,Chefferie de Mambwe
21203304,Chefferie de Muhona
21203305,Chefferie de Nkuvu
21203306,Chefferie de Nyembo
21203307,Chefferie de Yambula
21203401,Secteur de Baluba
21203402,Secteur de Basonge
21203403,Secteur de Munono
21204,Territoire de Manono
21204301,Chefferie de Bakongolo
21204302,Chefferie de Kiluba
21204401,Secteur de Kamalondo
21204402,Secteur de Kiofwe
21204403,Secteur de Luvua
21204404,Secteur de Nyemba
21205,Territoire de Moba
21205301,Chefferie de Bena-Tanga
21205302,Chefferie de Kansabala
21205303,Chefferie de Kayabala
21205304,Chefferie de Manda
21205305,Chefferie de Nganie (Nganye)
21205401,Secteur de Bena Kamanya
21206,Territoire de Nyunzu
21206401,Secteur de Nord-Lukuga
21206402,Secteur de Sud-Lukuga
22,Lomami
22201,Territoire de Kabinda
22201401,Secteur de Baluba-Lubangule
22201402,Secteur de Kabinda
22201403,Secteur de Ludimbi-Lukula
22201404,Secteur de Lufubu-Lomami
22201405,Secteur de Lukashi-Lualu
22201406,Secteur de Vunayi
22202,Territoire de Kamiji
22202401,Secteur de Kamiji
22202402,Secteur de Luekeshi
22203,Territoire de Lubau
22203401,Secteur de Bekalebwe
22203402,Secteur de Kisengwa
22203403,Secteur de Lubao
22203404,Secteur de Tshofa
22204,Territoire de Luilu
22204301,Chefferie de Kanutshina (In-Kan)
22204302,Chefferie de Katshisungu (Kanyoka de…)
22204303,Chefferie de Mulundu (Kanyoka de Mulundu )
22204401,Secteur de Kanda-Kanda
22205,Territoire de Ngandajika
22205301,Chefferie de Bakwa-Mulumba
22205302,Chefferie de Bena-Kalambayi (Kalambayi)
22205401,Secteur de Baluba-Shankadi
22205402,Secteur de Ngandajika
22205403,Secteur de Tshiyamba (Bena-Tshiyamba)
23,Sankuru
